"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"01/13/2014","CA","Los Angeles (Sylmar)","Under investigation","A 41-year-old man, a 40-year-old woman and their 2 children, a 7-year-old boy and a 12-year-old girl died in a house fire.","Female","12","Children (14 and under)","1 of 4","N","1 & 2 family
","Not present/not working","https://www.contracostatimes.com/california/ci_24900956/father-2-children-die-after-los-angeles-fire"
"01/13/2014","CA","Los Angeles (Sylmar)","Under investigation","A 41-year-old man, a 40-year-old woman and their 2 children, a 7-year-old boy and a 12-year-old girl died in a house fire.","Male","7","Children (14 and under)","2 of 4","N","1 & 2 family
","Not present/not working","https://www.contracostatimes.com/california/ci_24900956/father-2-children-die-after-los-angeles-fire"
"01/13/2014","CA","Los Angeles (Sylmar)","Under investigation","A 41-year-old man, a 40-year-old woman and their 2 children, a 7-year-old boy and a 12-year-old girl died in a house fire.","Female","41","Unknown","3 of 4","N","1 & 2 family
","Not present/not working","https://www.contracostatimes.com/california/ci_24900956/father-2-children-die-after-los-angeles-fire"
"01/13/2014","CA","Los Angeles (Sylmar)","Under investigation","A 41-year-old man, a 40-year-old woman and their 2 children, a 7-year-old boy and a 12-year-old girl died in a house fire.","Female","40","Unknown","4 of 4","N","1 & 2 family
","Not present/not working","https://www.contracostatimes.com/california/ci_24900956/father-2-children-die-after-los-angeles-fire"
"01/13/2014","CA","Wildomar ","Under investigation","A person died in a mobile home fire.","Unknown","Unknown","Unknown","","N","1 & 2 family mobile","Not reported","https://lakeelsinore-wildomar.patch.com/groups/police-and-fire/p/1-person-found-dead-in-wildomar-fire"
"01/13/2014","CA","Fresno","Under investigation","A 37-year-old man died in a residential type hotel fire.","Male","37","Unknown","","N","Multifamily","Not reported","https://abclocal.go.com/kfsn/story?section=news/local&id=9393599"
"01/10/2014","CA","Palo Alto","Under investigation","Two men, both age 64, died in a house fire.","Male","64","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://www.ktvu.com/news/news/local/investigation-delayed-house-fire-where-2-found-dea/nckcp/"
"01/10/2014","CA","Palo Alto","Under investigation","Two men, both age 64, died in a house fire.","Male","64","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.ktvu.com/news/news/local/investigation-delayed-house-fire-where-2-found-dea/nckcp/"
"01/10/2014","CA","Walnut Creek","Under investigation","A 62-year-old man died in a house fire.","Male","62","Unknown","","N","1 & 2 family
","Not reported","https://www.ktvu.com/news/news/local/victim-fatal-2-alarm-house-fire-identified/nck6L/"
"01/10/2014","CA","East Manteca","Under investigation","An 88-year-old woman died on 1/11/14 from burns suffered on 1/10/14 mobile home fire.","Female","88","Older adults (65 and older)","","N","1 & 2 family mobile","Not reported","https://www.mantecabulletin.com/section/1/article/95470/"
"01/08/2014","CA","Santa Ana","Under investigation","A 42-year-old woman and a 52-year-old woman died in a group home for special needs women","Female","42","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://www.latimes.com/local/lanow/la-me-ln-fatal-santa-ana-fire-neighbor-20140108,0,7629714.story"
"01/08/2014","CA","Santa Ana","Under investigation","A 42-year-old woman and a 52-year-old woman died in a group home for special needs women","Female","52","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.latimes.com/local/lanow/la-me-ln-fatal-santa-ana-fire-neighbor-20140108,0,7629714.story"
"01/07/2014","CA","Fresno","Under investigation","A woman died in an apartment fire.","Female","Unknown","Unknown","","N","Multifamily","Not reported","https://abclocal.go.com/kfsn/story?section=news/local&id=9384065"
"01/07/2014","CA","Visalia","Under investigation","An 80-year-old woman died in an apartment fire.","Female","80","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.fresnobee.com/2014/01/07/3701498/woman-dies-in-visalia-apartment.html"
"01/05/2014","CA","Clearlake","Under investigation","A person died in an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://www.lakeconews.com/index.php?option=com_content&view=article&id=34806:early-monring-apartment-fire-in-clearlake-takes-one-life&catid=1:latest&Itemid=197"
"01/02/2014","CA","Whittier","Under investigation","Two men, ages 34 and 31, died in an apartment fire.","Male","34","Unknown","1 of 2","N","Multifamily","Not reported","https://www.latimes.com/local/lanow/la-me-ln-whittier-fire-20140102,0,5910953.story"
"01/02/2014","CA","Whittier","Under investigation","Two men, ages 34 and 31, died in an apartment fire.","Male","31","Unknown","2 of 2","N","Multifamily","Not reported","https://www.latimes.com/local/lanow/la-me-ln-whittier-fire-20140102,0,5910953.story"
"01/01/2014","CA","Winchester","Under investigation","A 75-year-old woman died in a trailer fire","Female","75","Older adults (65 and older)","","N","1 & 2 family mobile","Not reported","https://temecula.patch.com/groups/police-and-fire/p/woman-confirmed-dead-in-winchester-mobile-home-fire"
"12/26/2013","CA","Hemet","Under investigation","A 25-year-old man died in a house fire","Male","25","Unknown","","N","1 & 2 family
","Not reported","https://blog.pe.com/breaking-news/2013/12/26/hemet-one-person-killed-in-house-fire/"
"12/25/2013","CA","San Francisco","Under investigation","A 59-year-old man died on Wednesday, 1st January from injuries suffered in a house fire in San Francisco, California on Wednesday, 25th December","Male","59","Unknown","","N","1 & 2 family
","Not reported","https://www.nbcbayarea.com/news/local/Man-Critically-Injured-in-San-Francisco-Christmas-Day-Fire-Dies--238386181.html"
"12/23/2013","CA","Port Hueneme","Under investigation","A 68-year-old man died in an apartment fire.","Male","68","Older adults (65 and older)","","N","Multifamily","Not present/not working","https://www.vcstar.com/news/2013/dec/23/1-critically-injured-in-port-hueneme-apartment/"
"12/20/2013","CA","Modesto","Under investigation","A 57-year-old man died in a house fire.","Male","57","Unknown","","N","1 & 2 family
","Not reported","https://fox40.com/2013/12/22/modesto-man-pulled-from-house-fire-dies-from-injuries/"
"12/19/2013","CA","Orange","Under investigation","A 90-year-old man died in a house fire.","Male","90","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.ocregister.com/articles/fire-594298-home-dead.html"
"12/14/2013","CA","Bakersfield","Heating","A 30-year-old pregnant woman died in a house fire.","Female","30","Unknown","","N","1 & 2 family
","Not reported","https://www.bakersfieldcalifornian.com/local/x22863477/Early-morning-fire-kills-pregnant-woman"
"12/14/2013","CA","Oakland","Under investigation","A 75-year-old man died in a house fire.","Male","75","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.sfgate.com/bayarea/article/Man-75-killed-in-fire-at-his-Oakland-home-5065789.php"
